Fold,Model,Foot,BestParams,Val_AUC,Test_Acc,Test_Sens,Test_Spec,Test_AUC
4,GRU,Combined,"{'lr': 0.001, 'dropout': 0.4}",0.76,0.7,0.6,0.8,0.72
4,PatchTST,Left,"{'lr': 0.001, 'dropout': 0.2}",0.97,0.55,0.8,0.3,0.61
4,PatchTST,Right,"{'lr': 0.001, 'dropout': 0.4}",0.94,0.55,0.5,0.6,0.72
4,PatchTST,Combined,"{'lr': 0.001, 'dropout': 0.2}",1.0,0.55,0.7,0.4,0.6
5,Random Forest,Left,"{'max_depth': None, 'max_features': 'log2', 'min_samples_leaf': 2, 'n_estimators': 500, 'random_state': 42}",0.73,0.75,0.8,0.7,0.89
5,Random Forest,Right,"{'max_depth': None, 'max_features': 'log2', 'min_samples_leaf': 1, 'n_estimators': 500, 'random_state': 42}",0.92,0.75,1.0,0.5,0.805
5,Random Forest,Combined,"{'max_depth': None, 'max_features': 'log2', 'min_samples_leaf': 1, 'n_estimators': 1000, 'random_state': 42}",0.82,0.8,0.9,0.7,0.83
5,SVM-Linear,Left,"{'C': 0.001, 'kernel': 'linear', 'probability': True}",0.73,0.75,0.8,0.7,0.88
5,SVM-Linear,Right,"{'C': 0.001, 'kernel': 'linear', 'probability': True}",0.81,0.65,0.9,0.4,0.83
5,SVM-Linear,Combined,"{'C': 0.01, 'kernel': 'linear', 'probability': True}",0.81,0.75,0.8,0.7,0.87
5,SVM-RBF,Left,"{'C': 0.1, 'gamma': 'auto', 'kernel': 'rbf', 'probability': True}",0.73,0.8,0.9,0.7,0.87
5,SVM-RBF,Right,"{'C': 0.1, 'gamma': 0.001, 'kernel': 'rbf', 'probability': True}",0.92,0.7,0.9,0.5,0.8
5,SVM-RBF,Combined,"{'C': 10, 'gamma': 0.001, 'kernel': 'rbf', 'probability': True}",0.8,0.75,0.8,0.7,0.83
5,1D-ResNet,Left,"{'lr': 0.001, 'dropout': 0.4}",0.73,0.5,0.9,0.1,0.63
5,1D-ResNet,Right,"{'lr': 0.0003, 'dropout': 0.4}",0.67,0.65,0.3,1.0,0.66
5,1D-ResNet,Combined,"{'lr': 0.0003, 'dropout': 0.4}",0.82,0.6,0.3,0.9,0.69
5,LSTM,Left,"{'lr': 0.001, 'dropout': 0.2}",0.8,0.6,0.8,0.4,0.6
5,LSTM,Right,"{'lr': 0.0003, 'dropout': 0.4}",0.74,0.55,0.6,0.5,0.53
5,LSTM,Combined,"{'lr': 0.0003, 'dropout': 0.4}",0.73,0.65,0.9,0.4,0.74
5,GRU,Left,"{'lr': 0.0003, 'dropout': 0.2}",0.75,0.5,0.8,0.2,0.58
5,GRU,Right,"{'lr': 0.0003, 'dropout': 0.2}",0.55,0.6,0.4,0.8,0.56
5,GRU,Combined,"{'lr': 0.001, 'dropout': 0.4}",0.77,0.5,0.9,0.1,0.73
5,PatchTST,Left,"{'lr': 0.001, 'dropout': 0.2}",0.81,0.35,0.3,0.4,0.35
5,PatchTST,Right,"{'lr': 0.0003, 'dropout': 0.2}",0.66,0.4,0.6,0.2,0.48
5,PatchTST,Combined,"{'lr': 0.001, 'dropout': 0.2}",0.84,0.65,0.4,0.9,0.88
